"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Designing a high performance cluster for large-scale SQL-on-hadoop analytics","A. Dholakia; P. Venkatachar; K. Doshi; R. Durgavajhala; S. Tate; B. Schiefer; M. Sheard; R. S. Sagar","Lenovo, Morrisville, NC, USA","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","1701","1703","Executing and optimizing SQL analytics on Data Lakes and Enterprise Data Warehouses (EDW) are areas of significant and growing interest. Achieving high performance for SQL analytics on large-scale data repositories remains a key challenge for data practitioners. The SQL-on-Hadoop Analytics solution described in this paper is very well suited for implementing the infrastructure to support these modern analytics initiatives while meeting requirements such as higher performance, lower cost, more efficient data center footprint, lower power consumption, appropriate storage needs and increased reliability. By using a TPC-DS derived workload applied to 100 TB of data, the work demonstrates for the first time the feasibility of designing such an extremely high-performance cluster. Furthermore, it enables investigation of large-scale SQL-on-Hadoop systems as the Spark SQL framework matures and enables similar investigations into machine learning and related Spark capabilities.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8258110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258110","Apache Spark;High-Performance Cluster;High-Speed Network;NVMe storage;SQL on Hadoop","Benchmark testing;Big Data;Computer architecture;Hardware;Nonvolatile memory;Software;Sparks","SQL;computer centres;data handling;data mining;data warehouses;parallel processing;query processing;relational databases","SQL analytics;SQL-on-Hadoop Analytics solution;SQL-on-Hadoop systems;Spark SQL framework matures;achieving high performance;data practitioners;high performance cluster;high-performance cluster;key challenge;large-scale data repositories;lower power consumption;memory size 100.0 TByte;modern analytics initiatives;significant growing interest","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"Plant identification with noisy web data","W. Y. Zhang; X. S. Hua","Monta Vista High School","2014 IEEE International Conference on Multimedia and Expo (ICME)","20140908","2014","","","1","6","One of the main problems in image based plant identification has been the lack of quality training image data. A few attempts for solving this problem through generating high quality plant images from crowd sourced Web image collections like Flickr are proposed in this paper. These methods try to automatically identify correct and informative training images from those Web images, which typically have very noisy metadata (for example, user tags in Flickr), to enhance existing manually labeled training set. Firstly, for each plant, a set of images is collected from searching Flickr by using the plant name as the query. Then, images are clustered into visually consistent clusters, and in each cluster hopefully a majority of the images are all relevant or irrelevant to the particular plant. From these clusters, a managed plant image data set from ImageCLEF is used as reference to automatically select the highest quality cluster for each plant. The image quality of the selected clusters is further improved by two algorithms: an iterative method and image similarity based ranking. We show that the larger training data set automatically selected by this method significantly increases the accuracy of image based plant identification. In addition, this approach is a generic solution to almost all image recognition problems as long as additional (noisy) training data can be obtained from the Internet automatically.","1945-7871;19457871","Electronic:978-1-4799-4761-4; POD:978-1-4799-4760-7","10.1109/ICME.2014.6890180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890180","Image classification;crowd sourced big data;machine learning;plant identification","Accuracy;Clustering algorithms;Data models;Noise measurement;Support vector machines;Training;Training data","Internet;agricultural engineering;image retrieval;iterative methods;object detection;object recognition;pattern clustering;social networking (online)","Flickr;ImageCLEF;Internet;Web image collection;automatic informative training image identification;image based plant identification;image clustering;image quality;image recognition problem;image similarity based ranking;iterative method;labeled training set;noisy Web data;query processing;visually consistent cluster","","0","","12","","","","14-18 July 2014","","IEEE","IEEE Conferences"
"Large-scale learning with AdaGrad on Spark","A. T. Hadgu; A. Nigam; E. Diaz-Aviles","L3S Research Center, Hannover, Germany","2015 IEEE International Conference on Big Data (Big Data)","20151228","2015","","","2828","2830","Stochastic Gradient Descent (SGD) is a simple yet very efficient online learning algorithm for optimizing convex (and often non-convex) functions and one of the most popular stochastic optimization methods in machine learning today. One drawback of SGD is that it is sensitive to the learning rate hyper-parameter. The Adaptive Sub-gradient Descent, AdaGrad, dynamically incorporates knowledge of the geometry of the data observed in earlier iterations to calculate a different learning rate for every feature. In this work, we implement a distributed version of AdaGrad for large-scale machine learning tasks using Apache Spark. Apache Spark is a fast cluster computing engine that provides similar scalability and fault tolerance properties to MapReduce, but in contrast to Hadoop's two-stage disk-based MapReduce paradigm, Spark's multi-stage in-memory primitives allow user programs to load data into a cluster's memory and query it repeatedly, which makes it ideal for building scalable machine learning applications. We empirically evaluate our implementation on large-scale real-world problems in the machine learning canonical tasks of classification and regression. Comparing our implementation of AdaGrad with the SGD scheduler currently available in Spark's Machine Learning Library (MLlib), we experimentally show that AdaGrad saves time by avoiding manually setting a learning-rate hyperparameter, converges fast and can even achieve better generalization errors.","","Electronic:978-1-4799-9926-2; POD:978-1-4799-9927-9","10.1109/BigData.2015.7364091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7364091","Adaptive gradient;Distributed machine learning;Spark","Aggregates;History;Sparks;Standards;Stochastic processes;Support vector machines;Training","convex programming;data handling;fault tolerant computing;geometry;gradient methods;learning (artificial intelligence);parallel processing;stochastic programming;user interfaces","AdaGrad;Apache Spark;Hadoop;MLlib;SGD;cluster computing engine;convex functions;disk-based MapReduce paradigm;fault tolerance properties;geometry;large-scale learning;machine learning library;online learning algorithm;stochastic gradient descent;stochastic optimization;user programs","","2","","7","","","","Oct. 29 2015-Nov. 1 2015","","IEEE","IEEE Conferences"
"Predictive analysis of diabetic patient data using machine learning and Hadoop","G. D. Kalyankar; S. R. Poojara; N. V. Dharwadkar","Dept. of Computer Science and Engineering, Rajarambapu Institute of Technology, Sakhrale, Sangli Dist","2017 International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","20171005","2017","","","619","624","Now days from health care industries large volume of data is generating. It is necessary to collect, store and process this data to discover knowledge from it and utilize it to take significant decisions. Diabetic Mellitus (DM) is from the Non Communicable Diseases (NCD), and lots of people are suffering from it. Now days, for developing countries such as India, DM has become a big health issue. The DM is one of the critical diseases which has long term complications associated with it and also follows with various health problems. With the help of technology, it is necessary to build a system that store and analyze the diabetic data and predict possible risks accordingly. Predictive analysis is a method that integrates various data mining techniques, machine learning algorithms and statistics that use current and past data sets to gain insight and predict future risks. In this work machine learning algorithm in Hadoop MapReduce environment are implemented for Pima Indian diabetes data set to find out missing values in it and to discover patterns from it. This work will be able to predict types of diabetes are widespread, related future risks and according to the risk level of patient the type of treatment can be provided.","","DVD:978-1-5090-3241-9; Electronic:978-1-5090-3243-3; POD:978-1-5090-3244-0; Paper:978-1-5090-3242-6","10.1109/I-SMAC.2017.8058253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8058253","Hadoop;Healthcare industry;Machine Learning;MapReduce;Predictive Analysis","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Data mining;Diabetes;Unsupervised learning","data analysis;data handling;data mining;diseases;health care;learning (artificial intelligence);medical information systems;parallel processing;patient diagnosis;pattern classification","DM;Diabetic Mellitus;Hadoop MapReduce environment;NonCommunicable Diseases;Pima Indian diabetes data;data mining techniques;data processing;data sets;diabetic patient data;machine learning algorithms;predictive analysis;risk level;statistics","","","","","","","","10-11 Feb. 2017","","IEEE","IEEE Conferences"
"A randomized approach to large-scale subspace clustering","P. A. Traganitis; G. B. Giannakis","Dept. of ECE & Digital Technology Center, Univ. of Minnesota, USA","2016 50th Asilomar Conference on Signals, Systems and Computers","20170306","2016","","","1019","1023","Subspace clustering has become a popular tool for clustering high-dimensional non-linearly separable data. However, state-of-the-art subspace clustering algorithms do not scale well as the number of data increases. The present paper puts forth a novel randomized subspace clustering scheme for high-volume data based on random projections. Performance of the proposed method is assessed via numerical tests, and is compared with state-of-the-art subspace clustering and large-scale subspace clustering methods.","","DVD:978-1-5386-3952-8; Electronic:978-1-5386-3954-2; POD:978-1-5386-3955-9","10.1109/ACSSC.2016.7869522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7869522","Subspace clustering;big data;random projections;sketching","Clustering algorithms;Complexity theory;Machine learning algorithms;Optimization;Principal component analysis;Signal processing algorithms;Sparse matrices","data handling;pattern clustering","high-dimensional nonlinearly separable data clustering;high-volume data;large-scale subspace clustering;random projection;randomized approach","","","","","","","","6-9 Nov. 2016","","IEEE","IEEE Conferences"
"Evaluating parallel logistic regression models","H. Peng; D. Liang; C. Choi","HTC Res. Center, Beijing, China","2013 IEEE International Conference on Big Data","20131223","2013","","","119","126","Logistic regression (LR) has been widely used in applications of machine learning, thanks to its linear model. However, when the size of training data is very large, even such a linear model can consume excessive memory and computation time. To tackle both resource and computation scalability in a big-data setting, we evaluate and compare different approaches in distributed platform, parallel algorithm, and sublinear approximation. Our empirical study provides design guidelines for choosing the most effective combination for the performance requirement of a given application.","","Electronic:978-1-4799-1293-3; POD:978-1-4799-1294-0","10.1109/BigData.2013.6691743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691743","Big Data;Logistic Regression Model;Parallel Computing;Sublinear Method","Algorithm design and analysis;Approximation algorithms;Computational modeling;Logistics;Machine learning algorithms;Sparks;Vectors","Big Data;approximation theory;design;learning (artificial intelligence);parallel algorithms;regression analysis","Big Data;computation scalability;design guidelines;distributed platform;linear model;machine learning;parallel algorithm;parallel logistic regression models;performance requirement;sublinear approximation","","3","","24","","","","6-9 Oct. 2013","","IEEE","IEEE Conferences"
"A cascade deep neuro-fuzzy system for high-dimensional online possibilistic fuzzy clustering","Z. Hu; Y. V. Bodyanskiy; O. K. Tyshchenko","School of Educational Information Technology, Central China Normal University, Wuhan, China","2016 XIth International Scientific and Technical Conference Computer Sciences and Information Technologies (CSIT)","20161013","2016","","","119","122","A cascade deep learning system (based on neuro-fuzzy nodes) and its online learning procedure are proposed in this paper. The system is based on nodes of a special type. A goal function of a special type is used for possibilistic high-dimensional fuzzy clustering. To estimate a clustering quality of data processing, an optimal value of a cluster validity index is used.","","","10.1109/STC-CSIT.2016.7589884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589884","Computational Intelligence;Data Stream Processing;Evolving System;Fuzzy Clustering;Machine Learning;Neuro-Fuzzy System","Adaptive systems;Clustering algorithms;Computer architecture;Fuzzy systems;Indexes;Machine learning;Neural networks","fuzzy neural nets;fuzzy set theory;learning (artificial intelligence);pattern clustering;possibility theory","cascade deep learning system;cascade deep neuro-fuzzy system;cluster validity index;clustering quality;data processing;goal function;high-dimensional online possibilistic fuzzy clustering;online learning procedure","","2","","","","","","6-10 Sept. 2016","","IEEE","IEEE Conferences"
"Big Universe, Big Data: Machine Learning and Image Analysis for Astronomy","J. Kremer; K. Stensbo-Smidt; F. Gieseke; K. S. Pedersen; C. Igel","University of Copenhagen","IEEE Intelligent Systems","20170327","2017","32","2","16","22","Astrophysics and cosmology are rich with data. The advent of wide-area digital cameras on large aperture telescopes has led to ever more ambitious surveys of the sky. Data volumes of entire surveys a decade ago can now be acquired in a single night, and real-time analysis is often desired. Thus, modern astronomy requires big data know-how, in particular, highly efficient machine learning and image analysis algorithms. But scalability isn't the only challenge: astronomy applications touch several current machine learning research questions, such as learning from biased data and dealing with label and measurement noise. The authors argue that this makes astronomy a great domain for computer science research, as it pushes the boundaries of data analysis. They focus here on exemplary results, discuss main challenges, and highlight some recent methodological advancements in machine learning and image analysis triggered by astronomical applications.","1541-1672;15411672","","10.1109/MIS.2017.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7887648","astronomy;big data;computer vision;intelligent systems;machine learning","Astronomy;Big data;Computer vision;Extrasolar planets;Extraterrestrial measurements;Image analysis;Machine learning;Telescopes","Big Data;astronomical image processing;learning (artificial intelligence)","Big Data;aperture telescopes;astronomy;astrophysics;computer science research;cosmology;data analysis;digital cameras;image analysis;image analysis algorithms;machine learning","","","","","","","","Mar.-Apr. 2017","","IEEE","IEEE Journals & Magazines"
"Table of contents","","","2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC)","20170720","2017","","","1","47","The following topics are dealt with: theoretical system; multimedia applications; emerging practical systems; D2D; channel estimation; WSN security; modulation; signal processing; resource allocation; network security; vehicular security; IoT; vehicle models; high-density networks; MIMO; transmission techniques; NG signaling; heterogeneous mechanisms; system security; routing protocols; network coding; millimeter wave; OFDM; Internet of Things; clustering mechanisms; vehicle performance evaluation; cloud-fog networking; machine learning; localization; MAC protocols; scheduling protocols; smart cities; physical layer security; QoE;QoS; wireless access networks; m-health; 5G communication; clustering algorithms; distributed algorithms; e-health; WSN-based monitoring systems; Big Data security; next generation networking; next generation wireless communications; secure communication; and mobile computing.","","Electronic:978-1-5090-4372-9; POD:978-1-5090-4373-6","10.1109/IWCMC.2017.7986250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7986250","","","5G mobile communication;Big Data;Internet of Things;MIMO communication;OFDM modulation;access protocols;channel estimation;cloud computing;learning (artificial intelligence);mobile computing;next generation networks;quality of experience;quality of service;routing protocols;signal processing;smart cities;telecommunication scheduling;telecommunication security;wireless sensor networks","5G communication;Big Data security;D2D;Internet of Things;IoT;MAC protocols;MIMO;NG signaling;OFDM;QoE;QoS;WSN security;WSN-based monitoring systems;channel estimation;cloud-fog networking;clustering algorithms;clustering mechanisms;distributed algorithms;e-health;emerging practical systems;heterogeneous mechanisms;high-density networks;localization;m-health;machine learning;millimeter wave;mobile computing;modulation;multimedia applications;network coding;network security;next generation networking;next generation wireless communications;physical layer security;resource allocation;routing protocols;scheduling protocols;secure communication;signal processing;smart cities;system security;transmission techniques;vehicle models;vehicle performance evaluation;vehicular security;wireless access networks","","","","","","","","26-30 June 2017","","IEEE","IEEE Conferences"
"Smart-MLlib: A High-Performance Machine-Learning Library","D. Siegal; J. Guo; G. Agrawal","Comput. Sci. & Eng., Ohio State Univ., Columbus, OH, USA","2016 IEEE International Conference on Cluster Computing (CLUSTER)","20161208","2016","","","336","345","As the popularity of big data analytics has continued to grow, so has the need for accessible and scalable machine-learning implementations. In recent years, Apache Spark's machine-learning library, MLlib, has been used to fulfill this need. Though Spark outperforms Hadoop, it is not clear if it is the best performing underlying middleware to support machine learning implementations. Building on a C++ and MPI based middleware system Smart, we present a machine-learning library prototype (Smart-MLlib). Like MLlib, Smart MLlib allows machine learning implementations to be invoked from a Scala program, and with a very similar API. To test our library's performance, we built four machine-learning applications that are also provided in Spark's MLlib: k-means clustering, linear regression, Gaussian mixture models, and support vector machines. On average, we outperformed Spark's MLlib by over 800%. Our library also scaled better than Spark's MLlib for every application tested. Thus, the new machine-learning library enables higher performance than Spark's MLlib without sacrificing the easy-to-use API.","","Electronic:978-1-5090-3653-0; POD:978-1-5090-3654-7","10.1109/CLUSTER.2016.49","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776527","","Clustering algorithms;Distributed databases;Iterative methods;Libraries;Programming;Sparks","Big Data;Gaussian processes;data analysis;learning (artificial intelligence);middleware;mixture models;pattern clustering;support vector machines","API;Apache Spark;C++ based middleware system;Gaussian mixture models;Hadoop;MPI based middleware system;Scala program;Smart-MLlib;big data analytics;k-means clustering;linear regression;machine-learning library;support vector machines","","1","","","","","","12-16 Sept. 2016","","IEEE","IEEE Conferences"
"Extracting route patterns of vessels from AIS data by using topic model","I. Fujino; C. Claramunt; A. O. Boudraa","School of Information and Telecommunication Engineering, Tokai University, Tokyo, Japan","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","4744","4746","Automatic Identification System (AIS) provides realtime information of moving vessels in the sea of the whole world. The AIS data can be exploited for vessel tracking, collision avoidance, traffic management and maritime surveillance. Although the AIS data accumulated from vessels over the area of interest may become a very large amount, clustering of these AIS data leads to benefit of knowledge discovery of maritime traffic and detection of abnormal events. On the other side, in the realm of machine learning and natural language processing, topic model provides novel approaches for extracting the topics that are implicit in massive and unstructured collection of documents. The most common implementation of topic model is LDA algorithm. From these facts, we are seized to apply topic model to solve route extraction problem. In this paper, we will describe our approach for route extraction from AIS data by using vector quantization and topic model at first. Then we will show some experimental results of route patterns extraction with a practical AIS data set.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8258528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258528","Automatic Identification System (AIS);Route Pattern Extraction;topic model;vector quantization","Artificial intelligence;Data mining;Data models;Finite element analysis;Natural language processing;Probability distribution;Vector quantization","data mining;learning (artificial intelligence);marine engineering;natural language processing;pattern clustering;ships;traffic engineering computing;vector quantisation;vehicle routing","AIS data;Automatic Identification System;LDA algorithm;abnormal events detection;clustering;collision avoidance;knowledge discovery;machine learning;maritime surveillance;maritime traffic;natural language processing;route patterns extraction;topic model;traffic management;vector quantization;vessel tracking","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"Nonnegative matrix factorization with adaptive neighbors","S. Huang; Z. Xu; F. Wang","Big Data Res. Center, School Comp. Sci. Eng., Univ. of Electr. Sci. and Tech. of China","2017 International Joint Conference on Neural Networks (IJCNN)","20170703","2017","","","486","493","Nonnegative Matrix factorization (NMF) and its graph regularized extensions have been playing an outstanding role in machine learning and data mining. Recent studies of graph regularized NMF have focused on the application for clustering algorithms. The clustering results of these methods highly depend on the data similarity learning since the data group is utilized based on the input data similarity matrix. Previous graph regularized NMF usually construct the data graph by considering the K-Nearest Neighbors (KNN) which may mislead the factorization since the nearest neighbors may belong to different clusters. That is, it is not a good similarity measurement to construct the data graph by considering the KNN. In this paper, we present NMF with Adaptive Neighbors (NMFAN) for clustering. NMFAN learns the data similarity matrix by assigning the adaptive and optimal neighbors for each data point by exploring the local connectivity of data. It is based on the assumption that the data points with a smaller distance should have a larger probability to be neighbors. Furthermore, in order to achieve the ideal neighbors assignment, we constrain the data similarity matrix such that the neighbors assignment becomes an adaptive process, thus an ideal neighbors assignment can be expected. In order to solve the optimization problem of our method, an efficient iterative updating algorithm is proposed and its convergence is also guaranteed theoretically. Experiments on benchmark data sets demonstrate the effectiveness of the proposed method.","","Electronic:978-1-5090-6182-2; POD:978-1-5090-6183-9","10.1109/IJCNN.2017.7965893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965893","","","convergence;data mining;iterative methods;learning (artificial intelligence);matrix decomposition;optimisation;pattern clustering","KNN;NMFAN;adaptive neighbors;adaptive process;benchmark data sets;clustering algorithms;convergence;data graph;data group;data local connectivity;data mining;data points;data similarity learning;graph regularized NMF;ideal neighbors assignment;input data similarity matrix;iterative updating algorithm;k-nearest neighbors;machine learning;nonnegative matrix factorization;optimal neighbors;optimization problem","","","","","","","","14-19 May 2017","","IEEE","IEEE Conferences"
"Scalable graph exploration and visualization: Sensemaking challenges and opportunities","R. Pienta; J. Abello; M. Kahng; D. H. Chau","Georgia Institute of Technology","2015 International Conference on Big Data and Smart Computing (BIGCOMP)","20150402","2015","","","271","278","Making sense of large graph datasets is a fundamental and challenging process that advances science, education and technology. We survey research on graph exploration and visualization approaches aimed at addressing this challenge. Different from existing surveys, our investigation highlights approaches that have strong potential in handling large graphs, algorithmically, visually, or interactively; we also explicitly connect relevant works from multiple research fields - data mining, machine learning, human-computer ineraction, information visualization, information retrieval, and recommender systems - to underline their parallel and complementary contributions to graph sensemaking. We ground our discussion in sensemaking research; we propose a new graph sensemaking hierarchy that categorizes tools and techniques based on how they operate on the graph data (e.g., local vs global). We summarize and compare their strengths and weaknesses, and highlight open challenges. We conclude with future research directions for graph sensemaking.","2375-933X;2375933X","Electronic:978-1-4799-7303-3; POD:978-1-4799-7304-0; USB:978-1-4799-7302-6","10.1109/35021BIGCOMP.2015.7072812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7072812","","Algorithm design and analysis;Data mining;Data visualization;Machine learning algorithms;Pattern matching;Scalability;Visualization","data visualisation;graph theory;mathematics computing","data mining;graph datasets;graph handling;graph sensemaking hierarchy;human-computer ineraction;information retrieval;information visualization;machine learning;recommender systems;scalable graph exploration approach;scalable graph visualization approach","","6","","86","","","","9-11 Feb. 2015","","IEEE","IEEE Conferences"
"Discovering thematic structure in political datasets","M. T. Le; J. Sweeney; M. F. Lawlor; S. W. Zucker","Dept. of Computer Science, Yale University New Haven, CT 06520-8285, USA","2013 IEEE International Conference on Intelligence and Security Informatics","20130815","2013","","","163","165","Big data for security informatics requires an analysis of both actors and measurement instruments. By analogy with social and political network analyses, primary questions involve who is doing what and in concert with whom. We seek to examine these questions using cluster analysis, non-linear dimensionality reduction, and machine learning techniques. We apply them to available political science and international relations databases, as these are natural proxies for security informatics databases. In particular we develop an embedding/clustering algorithm that reveals those political themes driving UN voting patterns as well as IGO (Inter-Governmental Organization) memberships. Our algorithm could readily be applied to international conflict, urban crime, and military engagement databases.","","Electronic:978-1-4673-6213-9; POD:978-1-4673-6214-6","10.1109/ISI.2013.6578810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578810","","Databases;Harmonic analysis;Irrigation","government data processing;learning (artificial intelligence);pattern clustering;politics;security of data","IGO memberships;UN voting patterns;big-data analysis;cluster analysis;embedding algorithm;intergovernmental organization memberships;international conflict database;international relations database;machine learning techniques;military engagement database;natural proxies;nonlinear dimensionality reduction;political network analysis;political science database;security informatics database;social network analysis;thematic structure discovery;urban crime database","","0","","11","","","","4-7 June 2013","","IEEE","IEEE Conferences"
"Table of contents","","","2014 International Conference on Information Technology Systems and Innovation (ICITSI)","20150226","2014","","","1","5","The following topics are dealt with: film recommendation systems; data clustering; cyber crime; event sentence extraction; machine learning; data mining; ontology; medical computing; multiagent system; ZigBee loop network; P2P computing; face-based gender classification; palm vein identification; e-learning; IT business development; e-government; online gaming; ERP; IT value analysis; wireless sensor network; online banking; accounting transaction; and health care.","","Electronic:978-1-4799-6527-4; POD:978-1-4799-6528-1","10.1109/ICITSI.2014.7048227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7048227","","","DP management;artificial intelligence;biometrics (access control);business data processing;computer aided instruction;computer games;computer networks;entertainment;financial management;government data processing;health care;medical computing;multi-agent systems;pattern clustering;recommender systems;security of data;wireless sensor networks","ERP;IT business development;IT value analysis;P2P computing;ZigBee loop network;accounting transaction;cyber crime;data clustering;data mining;e-government;e-learning;event sentence extraction;face-based gender classification;film recommendation systems;health care;machine learning;medical computing;multiagent system;online banking;online gaming;ontology;palm vein identification;wireless sensor network","","0","","","","","","24-27 Nov. 2014","","IEEE","IEEE Conferences"
"Weather data analysis and sensor fault detection using an extended IoT framework with semantics, big data, and machine learning","A. C. Onal; O. Berat Sezer; M. Ozbayoglu; E. Dogdu","Department of Computer Engineering, TOBB University of Economics and Technology, Ankara, Turkey 06560","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","2037","2046","In recent years, big data and Internet of Things (IoT) implementations started getting more attention. Researchers focused on developing big data analytics solutions using machine learning models. Machine learning is a rising trend in this field due to its ability to extract hidden features and patterns even in highly complex datasets. In this study, we used our Big Data IoT Framework in a weather data analysis use case. We implemented weather clustering and sensor anomaly detection using a publicly available dataset. We provided the implementation details of each framework layer (acquisition, ETL, data processing, learning and decision) for this particular use case. Our chosen learning model within the library is Scikit-Learn based k-means clustering. The data analysis results indicate that it is possible to extract meaningful information from a relatively complex dataset using our framework.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8258150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258150","Internet of things;anomaly detection;big data analytics;clustering;fault detection;framework;machine learning;weather data analysis","Big Data;Data analysis;Feature extraction;Machine learning algorithms;Meteorology;Resource description framework;Semantics","Big Data;Internet of Things;data analysis;fault diagnosis;feature extraction;geophysics computing;learning (artificial intelligence);meteorology;pattern clustering;sensors","Big Data IoT Framework;Internet of Things implementation;Scikit-Learn;big data analytics solutions;data processing;extended IoT framework;framework layer;hidden feature extraction;highly complex datasets;information extraction;k-means clustering;machine learning models;publicly available dataset;relatively complex dataset;sensor anomaly detection;sensor fault detection;weather clustering;weather data analysis use case","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"Mitigating the impact of faults in unreliable memories for error-resilient applications","S. Ganapathy; G. Karakonstantis; A. Teman; A. Burg","Telecommunications Circuits Laboratory, &#x00C9;cole Polytechnique F&#x00E9;d&#x00E9;rale de Lausanne, Switzerland","2015 52nd ACM/EDAC/IEEE Design Automation Conference (DAC)","20150727","2015","","","1","6","Inherently error-resilient applications in areas such as signal processing, machine learning and data analytics provide opportunities for relaxing reliability requirements, and thereby reducing the overhead incurred by conventional error correction schemes. In this paper, we exploit the tolerable imprecision of such applications by designing an energy-efficient fault-mitigation scheme for unreliable data memories to meet target yield. The proposed approach uses a bit-shuffling mechanism to isolate faults into bit locations with lower significance. This skews the bit-error distribution towards the low order bits, substantially limiting the output error magnitude. By controlling the granularity of the shuffling, the proposed technique enables trading-off quality for power, area, and timing overhead. Compared to error-correction codes, this can reduce the overhead by as much as 83% in read power, 77% in read access time, and 89% in area, when applied to various data mining applications in 28nm process technology.","0738-100X;0738100X","Electronic:978-1-4799-8052-9; POD:978-1-4799-8053-6","10.1145/2744769.2744871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7167286","Approximate Computing;Bit-shuffling;Error Correction;Error-resilient Applications;Priority-ECC;Significance-driven computing;Unreliable Memory","Arrays;Benchmark testing;Circuit faults;Delays;Error correction codes;Frequency modulation","fault tolerant computing;storage management","bit locations;bit-shuffling mechanism;data analytics;data memories;data mining applications;energy-efficient fault-mitigation scheme;error correction schemes;error-resilient applications;fault impact mitigation;machine learning;reliability requirements;signal processing","","7","","22","","","","8-12 June 2015","","IEEE","IEEE Conferences"
"Performance evaluation of distributed computing environments with Hadoop and Spark frameworks","V. Taran; O. Alienin; S. Stirenko; Y. Gordienko; A. Rojbi","National Technical University of Ukraine &#x201C;Igor Sikorsky, Kyiv Polytechnic Institute&#x201D;, Kyiv, Ukraine","2017 IEEE International Young Scientists Forum on Applied Physics and Engineering (YSF)","20171204","2017","","","80","83","Recently, due to rapid development of information and communication technologies, the data are created and consumed in the avalanche way. Distributed computing create preconditions for analyzing and processing such Big Data by distributing the computations among a number of compute nodes. In this work, performance of distributed computing environments on the basis of Hadoop and Spark frameworks is estimated for real and virtual versions of clusters. As a test task, we chose the classic use case of word counting in texts of various sizes. It was found that the running times grow very fast with the dataset size and faster than a power function even. As to the real and virtual versions of cluster implementations, this tendency is the similar for both Hadoop and Spark frameworks. Moreover, speedup values decrease significantly with the growth of dataset size, especially for virtual version of cluster configuration. The problem of growing data generated by IoT and multimodal (visual, sound, tactile, neuro and brain-computing, muscle and eye tracking, etc.) interaction channels is presented. In the context of this problem, the current observations as to the running times and speedup on Hadoop and Spark frameworks in real and virtual cluster configurations can be very useful for the proper scaling-up and efficient job management, especially for machine learning and Deep Learning applications, where Big Data are widely present.","","Electronic:978-1-5386-2994-9; POD:978-1-5386-2995-6","10.1109/YSF.2017.8126655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8126655","Big Data;Hadoop;Spark;clusters;data image processing and recognition;distributed computing;information systems;machine learning;multimodal interactions;speedup","Big Data;Distributed databases;Servers;Sparks;Standards","Big Data;cloud computing;learning (artificial intelligence);parallel processing","Hadoop framework;IoT;Spark framework;compute nodes;dataset size;distributed computing environments;multimodal channel;performance evaluation;virtual cluster configurations","","","","","","","","17-20 Oct. 2017","","IEEE","IEEE Conferences"
