Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Understanding the role of formal specification techniques in requirements engineering","Software Engineering Education","","","","10.1007/3-540-58951-1_105","Robert B. FranceMaria M. Larrondo-Petrie","1995","http://link.springer.com/chapter/10.1007/3-540-58951-1_105","Chapter"
"Is emotion relevant to requirements engineering?","Requirements Engineering","","10","3","10.1007/s00766-005-0014-5","Isabel RamosDaniel M. Berry","2005","http://link.springer.com/article/10.1007/s00766-005-0014-5","Article"
"Representations of instructional purpose in courseware requirements engineering","Computer Aided Learning and Instruction in Science and Engineering","","","","10.1007/BFb0022604","Byung-Hee (Benny) KangPeter Goodyear","1996","http://link.springer.com/chapter/10.1007/BFb0022604","Chapter"
"Requirements Engineering in the Software Process","Requirements Engineering","","","","10.1007/978-3-663-07965-1_3","Hubert F. Hofmann","2000","http://link.springer.com/chapter/10.1007/978-3-663-07965-1_3","Chapter"
"Security and Trust Requirements Engineering","Foundations of Security Analysis and Design III","","","","10.1007/11554578_8","Paolo GiorginiFabio MassacciNicola Zannone","2005","http://link.springer.com/chapter/10.1007/11554578_8","Chapter"
"MENTOR: A Computer Aided Requirements Engineering environment","Advanced Information Systems Engineering","","","","10.1007/3-540-61292-0_2","S. Si-SaidC. RollandG. Grosz","1996","http://link.springer.com/chapter/10.1007/3-540-61292-0_2","Chapter"
"Identification of Social Presence for e-Learning: An Initial Multiphase Activities for Requirements Engineering","Envisioning the Future of Online Learning","","","","10.1007/978-981-10-0954-9_20","Noorihan Abdul RahmanShamsul Sahibuddin","2016","http://link.springer.com/chapter/10.1007/978-981-10-0954-9_20","Chapter"
"Towards Model-Driven Requirements Engineering for Serious Educational Games: Informal, Semi-formal, and Formal Models","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-05843-6_2","Kendra M. L. CooperEman S. NasrC. Shaun Longstreet","2014","http://link.springer.com/chapter/10.1007/978-3-319-05843-6_2","Chapter"
"Requirements Engineering in an Emerging Market","Computational Science and Its Applications -- ICCSA 2015","","","","10.1007/978-3-319-21410-8_37","Emmanuel Okewu","2015","http://link.springer.com/chapter/10.1007/978-3-319-21410-8_37","Chapter"
"Using Patterns for Sharing Requirements Engineering Process Rationales","Rationale Management in Software Engineering","","","","10.1007/978-3-540-30998-7_20","Lars HaggeFrank HoudekKarthrin LappeBarbara Paech","2006","http://link.springer.com/chapter/10.1007/978-3-540-30998-7_20","Chapter"
"The Social Requirements Engineering (SRE) Approach to Developing a Large-Scale Personal Learning Environment Infrastructure","21st Century Learning for 21st Century Skills","","","","10.1007/978-3-642-33263-0_16","Effie Lai-Chong LawArunangsu ChatterjeeDominik RenzelRalf Klamma","2012","http://link.springer.com/chapter/10.1007/978-3-642-33263-0_16","Chapter"
"PC-RE: a method for personal and contextual requirements engineering with some experience","Requirements Engineering","","11","3","10.1007/s00766-006-0030-0","Alistair SutcliffeStephen FickasMcKay Moore Sohlberg","2006","http://link.springer.com/article/10.1007/s00766-006-0030-0","Article"
"A GRADE Requirements Engineering Management Model Based on the Co-creation of Value","Learning Technology for Education Challenges","","","","10.1007/978-3-319-62743-4_6","Ran TaoYuanguo LuoGuohua LiuYouqun ShiXin Tian","2017","http://link.springer.com/chapter/10.1007/978-3-319-62743-4_6","Chapter"
"A Pair-Oriented Requirements Engineering Approach for Analysing Multi-lingual Requirements","Requirements Engineering","","","","10.1007/978-3-662-43610-3_12","Massila KamalrudinSafiah SidekNorsaremah SallehJohn HoskingJohn Grundy","2014","http://link.springer.com/chapter/10.1007/978-3-662-43610-3_12","Chapter"
"An instrument for measuring the success of the requirements engineering process in information systems development","Empirical Software Engineering","","1","3","10.1007/BF00127446","Khaled El EmamNazim H. Madhavji","1996","http://link.springer.com/article/10.1007/BF00127446","Article"
"Investigating the use of software requirements engineering techniques in simulation modelling","Journal of Simulation","","1","3","10.1057/palgrave.jos.4250021","J D ArthurR E Nance","2007","http://link.springer.com/article/10.1057/palgrave.jos.4250021","Article"
"Use Case and Actor Driven Requirements Engineering: An Evaluation of Modifications to Prometheus","Multi-Agent Systems and Applications IV","","","","10.1007/11559221_21","Mikhail PerepletchikovLin Padgham","2005","http://link.springer.com/chapter/10.1007/11559221_21","Chapter"
"Enhancing security requirements engineering by organizational learning","Requirements Engineering","","17","1","10.1007/s00766-011-0141-0","Kurt SchneiderEric KnaussSiv HoumbShareeful IslamJan Jürjens","2012","http://link.springer.com/article/10.1007/s00766-011-0141-0","Article"
"Seven-Layer Model of the Role of the Facilitator in Requirements Engineering","Requirements Engineering","","4","1","10.1007/s007660050009","Linda A. Macaulay","1999","http://link.springer.com/article/10.1007/s007660050009","Article"
"Guiding requirements engineering for software-intensive embedded systems in the automotive industry","Computer Science - Research and Development","","29","1","10.1007/s00450-010-0136-y","Peter BraunManfred BroyFrank HoudekMatthias KirchmayrMark MüllerBirgit PenzenstadlerKlaus PohlThorsten Weyer","2014","http://link.springer.com/article/10.1007/s00450-010-0136-y","Article"
"Value-based requirements engineering: method and experience","Requirements Engineering","","","","10.1007/s00766-017-0273-y","Sarah ThewAlistair Sutcliffe","2017","http://link.springer.com/article/10.1007/s00766-017-0273-y","Article"
"Modeling Regulatory Compliance in Requirements Engineering","Advances in Conceptual Modeling","","","","10.1007/978-3-319-12256-4_13","Silvia IngolfoAlberto SienaJohn Mylopoulos","2014","http://link.springer.com/chapter/10.1007/978-3-319-12256-4_13","Chapter"
"The Use of Serious Games in Requirements Engineering","Enterprise Interoperability VII","","","","10.1007/978-3-319-30957-6_21","Elsa Marcelino-JesusJoao SarraipaCarlos AgostinhoRicardo Jardim-Goncalves","2016","http://link.springer.com/chapter/10.1007/978-3-319-30957-6_21","Chapter"
"Experience-Based Requirements Engineering Tools","Managing Requirements Knowledge","","","","10.1007/978-3-642-34419-0_15","E. KnaussS. Meyer","2013","http://link.springer.com/chapter/10.1007/978-3-642-34419-0_15","Chapter"
"Situatedness in Requirements Engineering","Requirements Engineering","","","","10.1007/978-3-663-07965-1_5","Hubert F. Hofmann","2000","http://link.springer.com/chapter/10.1007/978-3-663-07965-1_5","Chapter"
"On the Suitability of the Social Web Environment for Agile Requirements Engineering","Future Information Technology, Application, and Service","","","","10.1007/978-94-007-5064-7_28","Pankaj Kamthan","2012","http://link.springer.com/chapter/10.1007/978-94-007-5064-7_28","Chapter"
"Requirements Engineering for Pervasive Games Based Smart Learning Systems","Innovations in Smart Learning","","","","10.1007/978-981-10-2419-1_19","Yemna MejbriMaha KhemajaKaouther Raies","2017","http://link.springer.com/chapter/10.1007/978-981-10-2419-1_19","Chapter"
"A Social-Creative-Cognitive (SCC) Model for Requirements Engineering","Building Sustainable Information Systems","","","","10.1007/978-1-4614-7540-8_9","Linda Dawson","2013","http://link.springer.com/chapter/10.1007/978-1-4614-7540-8_9","Chapter"
"Artefact-based requirements engineering: the AMDiRE approach","Requirements Engineering","","20","4","10.1007/s00766-014-0206-y","Daniel Méndez FernándezBirgit Penzenstadler","2015","http://link.springer.com/article/10.1007/s00766-014-0206-y","Article"
"An Empirical Investigation on Dynamic Modeling in Requirements Engineering","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-540-87875-9_43","Carmine GravinoGiuseppe ScannielloGenoveffa Tortora","2008","http://link.springer.com/chapter/10.1007/978-3-540-87875-9_43","Chapter"
"Software and House Requirements Engineering: Lessons Learned in Combating Requirements Creep","Requirements Engineering","","3","3 - 4","10.1007/s007660050007","Daniel M. Berry","1998","http://link.springer.com/article/10.1007/s007660050007","Article"
"A methodology for the selection of requirements engineering techniques","Software & Systems Modeling","","7","3","10.1007/s10270-007-0055-y","Li JiangArmin EberleinBehrouz H. FarMajid Mousavi","2008","http://link.springer.com/article/10.1007/s10270-007-0055-y","Article"
"KMoS-RE: knowledge management on a strategy to requirements engineering","Requirements Engineering","","19","4","10.1007/s00766-013-0178-3","K. OlmosJ. Rodas","2014","http://link.springer.com/article/10.1007/s00766-013-0178-3","Article"
"An Experimental Design to Exercise Negotiation in Requirements Engineering","Software Engineering and Computer Systems","","","","10.1007/978-3-642-22203-0_47","Sabrina AhmadNoor Azilah Muda","2011","http://link.springer.com/chapter/10.1007/978-3-642-22203-0_47","Chapter"
"Requirements Engineering in Practice: There Is No Requirements Engineer Position","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-37422-7_25","Andrea Herrmann","2013","http://link.springer.com/chapter/10.1007/978-3-642-37422-7_25","Chapter"
"An empirical comparative evaluation of requirements engineering methods","Journal of the Brazilian Computer Society","","16","1","10.1007/s13173-010-0003-5","Sergio EspañaNelly Condori-FernandezArturo GonzálezÓscar Pastor","2010","http://link.springer.com/article/10.1007/s13173-010-0003-5","Article"
"Maps of Lessons Learnt in Requirements Engineering: A Research Preview","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-37422-7_9","Ibtehal NoorwaliNazim H. Madhavji","2013","http://link.springer.com/chapter/10.1007/978-3-642-37422-7_9","Chapter"
"Requirements Engineering and Storyboarding","Designing Virtual Reality Systems The Structured Approach","","","","10.1007/978-1-84628-230-0_2","","2005","http://link.springer.com/chapter/10.1007/978-1-84628-230-0_2","Chapter"
"GOREWEB Framework for Goal Oriented Requirements Engineering of Web Applications","Contemporary Computing","","","","10.1007/978-3-642-22606-9_25","Shailey ChawlaSangeeta SrivastavaPunam Bedi","2011","http://link.springer.com/chapter/10.1007/978-3-642-22606-9_25","Chapter"
"More requirements engineering adventures with building contractors","Requirements Engineering","","8","2","10.1007/s00766-003-0177-x","Daniel M. Berry","2003","http://link.springer.com/article/10.1007/s00766-003-0177-x","Article"
"Towards an Ontology of Requirements for Pervasive Games Based Learning Systems: A Requirements Engineering Perspective","Serious Games, Interaction and Simulation","","","","10.1007/978-3-319-51055-2_16","Yemna MejbriMaha KhemajaKaouther Raies","2017","http://link.springer.com/chapter/10.1007/978-3-319-51055-2_16","Chapter"
"DREP: A Requirements Engineering Process for Dependable Reactive Systems","Methods, Models and Tools for Fault Tolerance","","","","10.1007/978-3-642-00867-2_11","Sadaf MustafizJörg Kienzle","2009","http://link.springer.com/chapter/10.1007/978-3-642-00867-2_11","Chapter"
"Technology transfer decision support in requirements engineering research: a systematic review of REj","Requirements Engineering","","14","3","10.1007/s00766-009-0080-1","Martin IvarssonTony Gorschek","2009","http://link.springer.com/article/10.1007/s00766-009-0080-1","Article"
"A Computer-Aided Software Requirements Engineering Environment: KyotoDB-I","Distributed Environments","","","","10.1007/978-4-431-68144-1_3","Yoshihiro MatsumotoTsuneo Ajisaka","1991","http://link.springer.com/chapter/10.1007/978-4-431-68144-1_3","Chapter"
"Requirements Engineering in Agile Software Development","Software for People","","","","10.1007/978-3-642-31371-4_6","Rainer Grau","2012","http://link.springer.com/chapter/10.1007/978-3-642-31371-4_6","Chapter"
"Little Design Up-Front: A Design Science Approach to Integrating Usability into Agile Requirements Engineering","Human-Computer Interaction. New Trends","","","","10.1007/978-3-642-02574-7_62","Sisira AdikariCraig McDonaldJohn Campbell","2009","http://link.springer.com/chapter/10.1007/978-3-642-02574-7_62","Chapter"
"Using domain knowledge for requirements engineering: a process view","Domain Knowledge for Interactive System Design","","","","10.1007/978-0-387-35059-2_8","Georges GroszColette RollandNeil A. M. Maiden","1996","http://link.springer.com/chapter/10.1007/978-0-387-35059-2_8","Chapter"
"The Role of Requirements Engineering Practices in Agile Development: An Empirical Study","Requirements Engineering","","","","10.1007/978-3-662-43610-3_15","Xinyu WangLiping ZhaoYe WangJie Sun","2014","http://link.springer.com/chapter/10.1007/978-3-662-43610-3_15","Chapter"
"Designing and assessing a course on prioritization and importance assessment in strategic non-routine requirements engineering processes","Requirements Engineering","","21","4","10.1007/s00766-015-0230-6","Hans HeerkensLeo van der WegenBeatrice van der Heijden","2016","http://link.springer.com/article/10.1007/s00766-015-0230-6","Article"
"Overlaps in Requirements Engineering","Automated Software Engineering","","6","2","10.1023/A:1008718614166","George SpanoudakisAnthony FinkelsteinDavid Till","1999","http://link.springer.com/article/10.1023/A%3A1008718614166","Article"
"Interactive goal model analysis for early requirements engineering","Requirements Engineering","","21","1","10.1007/s00766-014-0209-8","Jennifer HorkoffEric Yu","2016","http://link.springer.com/article/10.1007/s00766-014-0209-8","Article"
"Report on the second IEEE international symposium on requirements engineering (RE '95), York, UK, 27–29 March 1995","Automated Software Engineering","","2","3","10.1007/BF00871800","Bashar Nuseibeh","1995","http://link.springer.com/article/10.1007/BF00871800","Article"
"Anticipating Change in Requirements Engineering","Relating Software Requirements and Architectures","","","","10.1007/978-3-642-21001-3_3","Soo Ling LimAnthony Finkelstein","2011","http://link.springer.com/chapter/10.1007/978-3-642-21001-3_3","Chapter"
"Requirements Engineering Repositories: Formal Support for Informal Teamwork Methods","Requirements Targeting Software and Systems Engineering","","","","10.1007/10692867_15","Hans W. NissenMatthias Jarke","1998","http://link.springer.com/chapter/10.1007/10692867_15","Chapter"
"The Role of Object-Oriented Modelling Methods in Requirements Engineering","Methodologies for Developing and Managing Emerging Technology Based Information Systems","","","","10.1007/978-1-4471-3629-3_29","Linda L. DawsonPaul A. Swatman","1999","http://link.springer.com/chapter/10.1007/978-1-4471-3629-3_29","Chapter"
"Advancing viewpoint merging in requirements engineering: a theoretical replication and explanatory study","Requirements Engineering","","22","3","10.1007/s00766-017-0271-0","Charu KhatwaniXiaoyu JinNan NiuAmy KoshofferLinda NewmanJuha Savolainen","2017","http://link.springer.com/article/10.1007/s00766-017-0271-0","Article"
"A Heuristic Approach for Supporting Product Innovation in Requirements Engineering: A Controlled Experiment","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-19858-8_10","Sascha El-SharkawyKlaus Schmid","2011","http://link.springer.com/chapter/10.1007/978-3-642-19858-8_10","Chapter"
"Requirements engineering—exploring the influence of power and Thai values","European Journal of Information Systems","","11","2","10.1057/palgrave.ejis.3000423","T Thanasankit","2002","http://link.springer.com/article/10.1057/palgrave.ejis.3000423","Article"
"Software Requirements Engineering in Digital Healthcare: A Case Study of the Diagnosis and Monitoring of Autism Spectrum Disorders in Children in the UK’s National Health Service","Digital Human Modeling. Applications in Health, Safety, Ergonomics, and Risk Management: Health and Safety","","","","10.1007/978-3-319-58466-9_9","Catherine TryfonaTom CrickAna CalderonSimon Thorne","2017","http://link.springer.com/chapter/10.1007/978-3-319-58466-9_9","Chapter"
"Management Aspects of Requirements Engineering","Requirements Engineering","","","","10.1007/978-3-319-61073-3_9","Jeremy Dick BSc (Eng), ACGI, DPhil, DIC, MAElizabeth HullKen Jackson BSc, MSc, MBCS","2017","http://link.springer.com/chapter/10.1007/978-3-319-61073-3_9","Chapter"
"An exploratory study of facilitation in distributed requirements engineering","Requirements Engineering","","8","1","10.1007/s00766-002-0164-7","Daniela E. DamianArmin EberleinMildred L. G. ShawBrian R. Gaines","2003","http://link.springer.com/article/10.1007/s00766-002-0164-7","Article"
"Integrating ontologies, model driven, and CNL in a multi-viewed approach for requirements engineering","Requirements Engineering","","16","2","10.1007/s00766-011-0116-1","Paulo F. PiresFlávia C. DelicatoRaphael CóbeThais BatistaJoseph G. DavisJoo Hee Song","2011","http://link.springer.com/article/10.1007/s00766-011-0116-1","Article"
"Functionality for Business Indicators in Data Warehouse Requirements Engineering","Advances in Conceptual Modeling","","","","10.1007/978-3-319-14139-8_6","Naveen PrakashHanu Bhardwaj","2014","http://link.springer.com/chapter/10.1007/978-3-319-14139-8_6","Chapter"
"Empirical research in requirements engineering: trends and opportunities","Requirements Engineering","","","","10.1007/s00766-016-0258-2","Talat AmbreenNaveed IkramMuhammad UsmanMahmood Niazi","2016","http://link.springer.com/article/10.1007/s00766-016-0258-2","Article"
"Communication Artifacts for Requirements Engineering","New Horizons in Design Science: Broadening the Research Agenda","","","","10.1007/978-3-319-18714-3_7","Miloslava PlachkinovaKen PeffersGreg Moody","2015","http://link.springer.com/chapter/10.1007/978-3-319-18714-3_7","Chapter"
"Artefact-Based Requirements Engineering Improvement: Learning to Walk in Practice","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-13835-0_27","Daniel Méndez Fernández","2014","http://link.springer.com/chapter/10.1007/978-3-319-13835-0_27","Chapter"
"The Impact of Knowledge Sharing Platforms in Distributed Requirements Engineering Scenarios: A Systematic Review","The 8th International Conference on Knowledge Management in Organizations","","","","10.1007/978-94-007-7287-8_47","Christian SillaberRuth Breu","2014","http://link.springer.com/chapter/10.1007/978-94-007-7287-8_47","Chapter"
"Requirements Engineering","Information Engineering und IV-Controlling","","","","10.1007/978-3-663-07965-1","Hubert F. Hofmann","2000","http://link.springer.com/book/10.1007/978-3-663-07965-1","Book"
"Challenges of working with artifacts in requirements engineering and software engineering","Requirements Engineering","","22","3","10.1007/s00766-017-0272-z","Parisa GhaziMartin Glinz","2017","http://link.springer.com/article/10.1007/s00766-017-0272-z","Article"
"Challenges in Object Oriented Modelling : From Conceptual Modelling to Requirements Engineering","OOIS’96","","","","10.1007/978-1-4471-0973-0_1","Colette Rolland","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0973-0_1","Chapter"
"A Meta Model for Artefact-Orientation: Fundamentals and Lessons Learned in Requirements Engineering","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-16129-2_14","Daniel Méndez FernándezBirgit PenzenstadlerMarco KuhrmannManfred Broy","2010","http://link.springer.com/chapter/10.1007/978-3-642-16129-2_14","Chapter"
"Lessons Learned from Applying the Requirements Engineering Good Practice Guide for Process Improvement","Software Quality — ECSQ 2002","","","","10.1007/3-540-47984-8_11","Marjo KauppinenTapani AaltioSari Kujala","2002","http://link.springer.com/chapter/10.1007/3-540-47984-8_11","Chapter"
"Requirements Engineering Meets Physiotherapy: An Experience with Motion-Based Games","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-37422-7_23","Liliana PasqualePaola SpoletiniDario PomettoFrancesco BlasiTiziana Redaelli","2013","http://link.springer.com/chapter/10.1007/978-3-642-37422-7_23","Chapter"
"Guidance for requirements engineering processes","Database and Expert Systems Applications","","","","10.1007/BFb0022072","Samira Si-SaidColette Rolland","1997","http://link.springer.com/chapter/10.1007/BFb0022072","Chapter"
"Rationale and Requirements Engineering","Rationale-Based Software Engineering","","","","10.1007/978-3-540-77583-6_11","","2008","http://link.springer.com/chapter/10.1007/978-3-540-77583-6_11","Chapter"
"Group Support and Change Propagation in Requirements Engineering","Database Application Engineering with DAIDA","","","","10.1007/978-3-642-84875-9_7","Balasubramaniam RameshVasant Dhar","1993","http://link.springer.com/chapter/10.1007/978-3-642-84875-9_7","Chapter"
"What’s Different about Requirements Engineering for Web Sites?","Requirements Engineering","","5","1","10.1007/PL00010343","S. P. Overmyer","2000","http://link.springer.com/article/10.1007/PL00010343","Article"
"Requirements Engineering for Cloud Computing in University Using i*(iStar) Hierarchy Method","Information Science and Applications","","","","10.1007/978-3-662-46578-3_105","SandfreniNabila Rizky OktadimiKridanto Surendro","2015","http://link.springer.com/chapter/10.1007/978-3-662-46578-3_105","Chapter"
"Understanding Ambiguity in Requirements Engineering","Engineering and Managing Software Requirements","","","","10.1007/3-540-28244-0_11","Erik Kamsties","2005","http://link.springer.com/chapter/10.1007/3-540-28244-0_11","Chapter"
"Using simulation‐based experiments for software requirements engineering","Annals of Software Engineering","","3","1","10.1023/A:1018942122436","F. Javier LerchDeborah J. BallouDonald E. Harter","1997","http://link.springer.com/article/10.1023/A%3A1018942122436","Article"
"An Industrial Case Study of Immediate Benefits of Requirements Engineering Process Improvement at the Australian Center for Unisys Software","Empirical Software Engineering","","9","1 - 2","10.1023/B:EMSE.0000013514.19567.ad","Daniela DamianDidar ZowghiLakshminarayanan VaidyanathasamyYogendra Pal","2004","http://link.springer.com/article/10.1023/B%3AEMSE.0000013514.19567.ad","Article"
"Software Requirements Engineering: The Need for Systems Engineering and Literacy","Requirements Engineering","","6","2","10.1007/s007660170010","Roel Wieringa","2001","http://link.springer.com/article/10.1007/s007660170010","Article"
"Requirements Engineering","Applied Computing","","","","10.1007/978-1-4471-1005-7","Linda A. Macaulay BSc (Maths), MSc (Comp.Sc), FBCS, CEng","1996","http://link.springer.com/book/10.1007/978-1-4471-1005-7","Book"
"Extreme Requirements Engineering (XRE)","Requirements Engineering in the Big Data Era","","","","10.1007/978-3-662-48634-4_7","Naveed IkramSonia Naz","2015","http://link.springer.com/chapter/10.1007/978-3-662-48634-4_7","Chapter"
"Understandability of Goal-Oriented Requirements Engineering Concepts for Enterprise Architects","Advanced Information Systems Engineering","","","","10.1007/978-3-319-07881-6_8","Wilco EngelsmanRoel Wieringa","2014","http://link.springer.com/chapter/10.1007/978-3-319-07881-6_8","Chapter"
"Multi-perspective requirements engineering within NATURE","Requirements Engineering","","1","3","10.1007/BF01236425","N. A. M. MaidenG. SpanoudakisH. W. Nissen","1996","http://link.springer.com/article/10.1007/BF01236425","Article"
"From requirements to UML models and back: how automatic processing of text can support requirements engineering","Software Quality Journal","","22","1","10.1007/s11219-013-9210-6","Mathias LandhäußerSven J. KörnerWalter F. Tichy","2014","http://link.springer.com/article/10.1007/s11219-013-9210-6","Article"
"Scenario Analysis in an Automated Tool for Requirements Engineering","Requirements Engineering","","5","1","10.1007/PL00010341","Hong ZhuLingzi Jin","2000","http://link.springer.com/article/10.1007/PL00010341","Article"
"Guidelines for using UML association classes and their effect on domain understanding in requirements engineering","Requirements Engineering","","19","1","10.1007/s00766-012-0159-y","Palash BeraJoerg Evermann","2014","http://link.springer.com/article/10.1007/s00766-012-0159-y","Article"
"From Requirements Engineering to Green Requirements Engineering","Green in Software Engineering","","","","10.1007/978-3-319-08581-4_7","Birgit Penzenstadler","2015","http://link.springer.com/chapter/10.1007/978-3-319-08581-4_7","Chapter"
"Identifying Combinatorial Effects in Requirements Engineering","Advances in Enterprise Engineering VII","","","","10.1007/978-3-642-38117-1_7","Jan VerelstAlberto Rodrigues SilvaHerwig MannaertDavid Almeida FerreiraPhilip Huysmans","2013","http://link.springer.com/chapter/10.1007/978-3-642-38117-1_7","Chapter"
"Collaborative Product Line Requirements Engineering Using Rationale","Collaborative Software Engineering","","","","10.1007/978-3-642-10294-3_18","Anil K. Thurimella","2010","http://link.springer.com/chapter/10.1007/978-3-642-10294-3_18","Chapter"
"User-Oriented Requirements Engineering","Usability- and Accessibility-Focused Requirements Engineering","","","","10.1007/978-3-319-45916-5_2","Alistair Sutcliffe","2016","http://link.springer.com/chapter/10.1007/978-3-319-45916-5_2","Chapter"
"Domain knowledge reuse during requirements engineering","Advanced Information Systems Engineering","","","","10.1007/3-540-59498-1_253","Michael D. GibsonKevin Conheeney","1995","http://link.springer.com/chapter/10.1007/3-540-59498-1_253","Chapter"
"Goal-Oriented Requirements Engineering and Enterprise Architecture: Two Case Studies and Some Lessons Learned","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-28714-5_27","Wilco EngelsmanRoel Wieringa","2012","http://link.springer.com/chapter/10.1007/978-3-642-28714-5_27","Chapter"
"Requirements Engineering Process Improvement: An Industrial Case Study","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-19858-8_4","Georgi A. MarkovAnne HoffmannOliver Creighton","2011","http://link.springer.com/chapter/10.1007/978-3-642-19858-8_4","Chapter"
"Requirements Engineering in Complex Domains","Graph Transformations and Model-Driven Engineering","","","","10.1007/978-3-642-17322-6_26","Matthias JarkeRalf KlammaKlaus PohlErnst Sikora","2010","http://link.springer.com/chapter/10.1007/978-3-642-17322-6_26","Chapter"
"Ten years of Australian workshop on requirements engineering","Requirements Engineering","","12","2","10.1007/s00766-007-0044-2","Didar Zowghi","2007","http://link.springer.com/article/10.1007/s00766-007-0044-2","Article"
"Understandability of Goal Concepts by Requirements Engineering Experts","Advances in Conceptual Modeling","","","","10.1007/978-3-319-12256-4_10","Wilco EngelsmanRoel Wieringa","2014","http://link.springer.com/chapter/10.1007/978-3-319-12256-4_10","Chapter"
"Applications of ontologies in requirements engineering: a systematic review of the literature","Requirements Engineering","","21","4","10.1007/s00766-015-0222-6","Diego DermevalJéssyka VilelaIg Ibert BittencourtJaelson CastroSeiji IsotaniPatrick BritoAlan Silva","2016","http://link.springer.com/article/10.1007/s00766-015-0222-6","Article"
"Effectiveness and performance analysis of model-oriented security requirements engineering to elicit security requirements: a systematic solution for developing secure software systems","International Journal of Information Security","","15","3","10.1007/s10207-015-0305-x","P. SaliniS. Kanmani","2016","http://link.springer.com/article/10.1007/s10207-015-0305-x","Article"
"Requirements Engineering Tool Evaluation Approach","Advances in Information Systems Development","","","","10.1007/978-0-387-36402-5_60","Raimundas MatulevičiusGuttorm Sindre","2006","http://link.springer.com/chapter/10.1007/978-0-387-36402-5_60","Chapter"
"Requirements engineering within a large-scale security-oriented research project: lessons learned","Requirements Engineering","","18","1","10.1007/s00766-011-0139-7","Seda GürsesMagali SeguranNicola Zannone","2013","http://link.springer.com/article/10.1007/s00766-011-0139-7","Article"
