Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"QCC: a novel clustering algorithm based on Quasi-Cluster Centers","Machine Learning","","106","3","10.1007/s10994-016-5608-2","Jinlong HuangQingsheng ZhuLijun YangDongdong ChengQuanwang Wu","2017","http://link.springer.com/article/10.1007/s10994-016-5608-2","Article"
"Clustering based on median and closest string via rank distance with applications on DNA","Neural Computing and Applications","","24","1","10.1007/s00521-013-1468-x","Liviu P. DinuRadu Tudor Ionescu","2014","http://link.springer.com/article/10.1007/s00521-013-1468-x","Article"
"Online Learning Algorithms for Double-Weighted Least Squares Twin Bounded Support Vector Machines","Neural Processing Letters","","45","1","10.1007/s11063-016-9527-9","Juntao LiYimin CaoYadi WangHuimin Xiao","2017","http://link.springer.com/article/10.1007/s11063-016-9527-9","Article"
"Exploring differential evolution and particle swarm optimization to develop some symmetry-based automatic clustering techniques: application to gene clustering","Neural Computing and Applications","","","","10.1007/s00521-016-2710-0","Sriparna SahaRanjita Das","2017","http://link.springer.com/article/10.1007/s00521-016-2710-0","Article"
"Metalearning: a survey of trends and technologies","Artificial Intelligence Review","","44","1","10.1007/s10462-013-9406-y","Christiane LemkeMarcin BudkaBogdan Gabrys","2015","http://link.springer.com/article/10.1007/s10462-013-9406-y","Article"
"TexRep: A Text Mining Framework for Online Reputation Monitoring","New Generation Computing","","35","4","10.1007/s00354-017-0021-3","Pedro SaleiroEduarda Mendes RodriguesCarlos SoaresEugénio Oliveira","2017","http://link.springer.com/article/10.1007/s00354-017-0021-3","Article"
"Action recognition by learning temporal slowness invariant features","The Visual Computer","","32","11","10.1007/s00371-015-1090-2","Lishen PeiMao YeXuezhuan ZhaoYumin DouJiao Bao","2016","http://link.springer.com/article/10.1007/s00371-015-1090-2","Article"
"Learning from patches by efficient spectral decomposition of a structured kernel","Machine Learning","","103","1","10.1007/s10994-015-5538-4","Moshe SalhovAmit BermanisGuy WolfAmir Averbuch","2016","http://link.springer.com/article/10.1007/s10994-015-5538-4","Article"
"Strategies for simulating pedestrian navigation with multiple reinforcement learning agents","Autonomous Agents and Multi-Agent Systems","","29","1","10.1007/s10458-014-9252-6","Francisco Martinez-GilMiguel LozanoFernando Fernández","2015","http://link.springer.com/article/10.1007/s10458-014-9252-6","Article"
"Exhaustive search algorithms to mine subgroups on Big Data using Apache Spark","Progress in Artificial Intelligence","","6","2","10.1007/s13748-017-0112-x","F. PadilloJ. M. LunaS. Ventura","2017","http://link.springer.com/article/10.1007/s13748-017-0112-x","Article"
"Large-scale structural learning and predicting via hashing approximation","Neural Computing and Applications","","","","10.1007/s00521-017-3238-7","Dandan ChenYingjie Tian","2017","http://link.springer.com/article/10.1007/s00521-017-3238-7","Article"
"Non-negative Matrix Factorization with Pairwise Constraints and Graph Laplacian","Neural Processing Letters","","42","1","10.1007/s11063-014-9350-0","Yang-Cheng HeHong-Tao LuLei HuangXiao-Hua Shi","2015","http://link.springer.com/article/10.1007/s11063-014-9350-0","Article"
"Time Series Prediction for Graphs in Kernel and Dissimilarity Spaces","Neural Processing Letters","","","","10.1007/s11063-017-9684-5","Benjamin PaaßenChristina GöpfertBarbara Hammer","2017","http://link.springer.com/article/10.1007/s11063-017-9684-5","Article"
"Do We Need More Training Data?","International Journal of Computer Vision","","119","1","10.1007/s11263-015-0812-2","Xiangxin ZhuCarl VondrickCharless C. FowlkesDeva Ramanan","2016","http://link.springer.com/article/10.1007/s11263-015-0812-2","Article"
"An effective synchronization clustering algorithm","Applied Intelligence","","46","1","10.1007/s10489-016-0814-y","Xinquan Chen","2017","http://link.springer.com/article/10.1007/s10489-016-0814-y","Article"
"Big Data","AI & SOCIETY","","","","10.1007/s00146-016-0662-7","Xin Wei ShaGabriele Carotti-Sha","2016","http://link.springer.com/article/10.1007/s00146-016-0662-7","Article"
"Learning a Distance Metric from Relative Comparisons between Quadruplets of Images","International Journal of Computer Vision","","121","1","10.1007/s11263-016-0923-4","Marc T. LawNicolas ThomeMatthieu Cord","2017","http://link.springer.com/article/10.1007/s11263-016-0923-4","Article"
"Manifold regularized extreme learning machine","Neural Computing and Applications","","27","2","10.1007/s00521-014-1777-8","Bing LiuShi-Xiong XiaFan-Rong MengYong Zhou","2016","http://link.springer.com/article/10.1007/s00521-014-1777-8","Article"
"Boosting-SVM: effective learning with reduced data dimension","Applied Intelligence","","39","3","10.1007/s10489-013-0425-9","Ching-Wei WangWun-Hong You","2013","http://link.springer.com/article/10.1007/s10489-013-0425-9","Article"
"Anomaly Detection in Microblogging via Co-Clustering","Journal of Computer Science and Technology","","30","5","10.1007/s11390-015-1585-3","Wu YangGuo-Wei ShenWei WangLiang-Yi GongMiao YuGuo-Zhong Dong","2015","http://link.springer.com/article/10.1007/s11390-015-1585-3","Article"
"High-Impact Bug Report Identification with Imbalanced Learning Strategies","Journal of Computer Science and Technology","","32","1","10.1007/s11390-017-1713-3","Xin-Li YangDavid LoXin XiaQiao HuangJian-Ling Sun","2017","http://link.springer.com/article/10.1007/s11390-017-1713-3","Article"
"Spectral learning of weighted automata","Machine Learning","","96","1 - 2","10.1007/s10994-013-5416-x","Borja BalleXavier CarrerasFranco M. LuqueAriadna Quattoni","2014","http://link.springer.com/article/10.1007/s10994-013-5416-x","Article"
"Incremental Clustering-Based Facial Feature Tracking Using Bayesian ART","Neural Processing Letters","","45","3","10.1007/s11063-016-9554-6","Md. Nazrul IslamChu Kiong LooManjeevan Seera","2017","http://link.springer.com/article/10.1007/s11063-016-9554-6","Article"
"Elitist teaching–learning-based optimization (ETLBO) with higher-order Jordan Pi-sigma neural network: a comparative performance analysis","Neural Computing and Applications","","","","10.1007/s00521-016-2738-1","Janmenjoy NayakBighnaraj NaikH. S. BeheraAjith Abraham","2016","http://link.springer.com/article/10.1007/s00521-016-2738-1","Article"
"Clusters of male and female Alzheimer’s disease patients in the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database","Brain Informatics","","3","3","10.1007/s40708-016-0035-5","Dragan GambergerBernard ŽenkoAlexis MitelpunktNetta ShacharNada Lavrač","2016","http://link.springer.com/article/10.1007/s40708-016-0035-5","Article"
"Uncommon voices of AI","AI & SOCIETY","","32","4","10.1007/s00146-017-0755-y","Karamjit S. Gill","2017","http://link.springer.com/article/10.1007/s00146-017-0755-y","Article"
"Variational Bayesian inference for infinite generalized inverted Dirichlet mixtures with feature selection and its application to clustering","Applied Intelligence","","44","3","10.1007/s10489-015-0714-6","Taoufik BdiriNizar BouguilaDjemel Ziou","2016","http://link.springer.com/article/10.1007/s10489-015-0714-6","Article"
"Missing data imputation by K nearest neighbours based on grey relational structure and mutual information","Applied Intelligence","","43","3","10.1007/s10489-015-0666-x","Ruilin PanTingsheng YangJianhua CaoKe LuZhanchao Zhang","2015","http://link.springer.com/article/10.1007/s10489-015-0666-x","Article"
"A Review of Scalable Bioinformatics Pipelines","Data Science and Engineering","","2","3","10.1007/s41019-017-0047-z","Bjørn FjukstadLars Ailo Bongo","2017","http://link.springer.com/article/10.1007/s41019-017-0047-z","Article"
"Formal concept analysis: current trends and directions","Artificial Intelligence Review","","44","1","10.1007/s10462-013-9404-0","Achyanta Kumar SarmahShyamanta M. HazarikaSmriti Kumar Sinha","2015","http://link.springer.com/article/10.1007/s10462-013-9404-0","Article"
"Artificial fish swarm algorithm: a survey of the state-of-the-art, hybridization, combinatorial and indicative applications","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9342-2","Mehdi NeshatGhodrat SepidnamMehdi SargolzaeiAdel Najaran Toosi","2014","http://link.springer.com/article/10.1007/s10462-012-9342-2","Article"
"Feature-aligned segmentation using correlation clustering","Computational Visual Media","","3","2","10.1007/s41095-016-0071-3","Yixin ZhuangHang DouNathan CarrTao Ju","2017","http://link.springer.com/article/10.1007/s41095-016-0071-3","Article"
"A fast evaluation method for RTS game strategy using fuzzy extreme learning machine","Natural Computing","","15","3","10.1007/s11047-015-9484-7","YingJie LiPeter H. F. NgSimon C. K. Shiu","2016","http://link.springer.com/article/10.1007/s11047-015-9484-7","Article"
"Relational data factorization","Machine Learning","","106","12","10.1007/s10994-017-5660-6","Sergey ParamonovMatthijs van LeeuwenLuc De Raedt","2017","http://link.springer.com/article/10.1007/s10994-017-5660-6","Article"
"Blood type classification using computer vision and machine learning","Neural Computing and Applications","","28","8","10.1007/s00521-015-2151-1","Ana FerrazJosé Henrique BritoVítor CarvalhoJosé Machado","2017","http://link.springer.com/article/10.1007/s00521-015-2151-1","Article"
"Semantic subgroup explanations","Journal of Intelligent Information Systems","","42","2","10.1007/s10844-013-0292-1","Anže VavpetičVid PodpečanNada Lavrač","2014","http://link.springer.com/article/10.1007/s10844-013-0292-1","Article"
"Stupid Tutoring Systems, Intelligent Humans","International Journal of Artificial Intelligence in Education","","26","2","10.1007/s40593-016-0105-0","Ryan S. Baker","2016","http://link.springer.com/article/10.1007/s40593-016-0105-0","Article"
"One-Class Classification Based on Extreme Learning and Geometric Class Information","Neural Processing Letters","","45","2","10.1007/s11063-016-9541-y","Alexandros IosifidisVasileios MygdalisAnastasios TefasIoannis Pitas","2017","http://link.springer.com/article/10.1007/s11063-016-9541-y","Article"
"A survey of tagging techniques for music, speech and environmental sound","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9362-y","Shufei DuanJinglan ZhangPaul RoeMichael Towsey","2014","http://link.springer.com/article/10.1007/s10462-012-9362-y","Article"
"Success factors for serious games to enhance learning: a systematic review","Virtual Reality","","21","1","10.1007/s10055-016-0298-4","Werner Siegfried RavyseA. Seugnet BlignautVerona LeendertzAlex Woolner","2017","http://link.springer.com/article/10.1007/s10055-016-0298-4","Article"
"Training the Body: The Potential of AIED to Support Personalized Motor Skills Learning","International Journal of Artificial Intelligence in Education","","26","2","10.1007/s40593-016-0103-2","Olga C. Santos","2016","http://link.springer.com/article/10.1007/s40593-016-0103-2","Article"
"A survey for the applications of content-based microscopic image analysis in microorganism classification domains","Artificial Intelligence Review","","","","10.1007/s10462-017-9572-4","Chen LiKai WangNing Xu","2017","http://link.springer.com/article/10.1007/s10462-017-9572-4","Article"
"C-BiLDA extracting cross-lingual topics from non-parallel texts by distinguishing shared from unshared content","Data Mining and Knowledge Discovery","","30","5","10.1007/s10618-015-0442-x","Geert HeymanIvan VulićMarie-Francine Moens","2016","http://link.springer.com/article/10.1007/s10618-015-0442-x","Article"
"Text clustering using VSM with feature clusters","Neural Computing and Applications","","26","4","10.1007/s00521-014-1792-9","Cao QiminGuo QiaoWang YongliangWu Xianghua","2015","http://link.springer.com/article/10.1007/s00521-014-1792-9","Article"
"Autonomous Learning of Representations","KI - Künstliche Intelligenz","","29","4","10.1007/s13218-015-0372-1","Oliver WalterReinhold Haeb-UmbachBassam MokbelBenjamin PaassenBarbara Hammer","2015","http://link.springer.com/article/10.1007/s13218-015-0372-1","Article"
"Stability-based preference selection in affinity propagation","Neural Computing and Applications","","25","7 - 8","10.1007/s00521-014-1671-4","Dong-Wei ChenJian-Qiang ShengJun-Jie ChenChang-Dong Wang","2014","http://link.springer.com/article/10.1007/s00521-014-1671-4","Article"
"Combining affinity propagation with supervised dictionary learning for image classification","Neural Computing and Applications","","22","7 - 8","10.1007/s00521-012-0957-7","Bingxin XuRukun HuPing Guo","2013","http://link.springer.com/article/10.1007/s00521-012-0957-7","Article"
"Data-centric and logic-based models for automated legal problem solving","Artificial Intelligence and Law","","25","1","10.1007/s10506-017-9193-x","L. Karl Branting","2017","http://link.springer.com/article/10.1007/s10506-017-9193-x","Article"
"Weakly-Supervised Cross-Domain Dictionary Learning for Visual Recognition","International Journal of Computer Vision","","109","1 - 2","10.1007/s11263-014-0703-y","Fan ZhuLing Shao","2014","http://link.springer.com/article/10.1007/s11263-014-0703-y","Article"
"Multiple instance learning via Gaussian processes","Data Mining and Knowledge Discovery","","28","4","10.1007/s10618-013-0333-y","Minyoung KimFernando De la Torre","2014","http://link.springer.com/article/10.1007/s10618-013-0333-y","Article"
"An overview on rough neural networks","Neural Computing and Applications","","27","7","10.1007/s00521-015-2009-6","Hongmei LiaoShifei DingMiaomiao WangGang Ma","2016","http://link.springer.com/article/10.1007/s00521-015-2009-6","Article"
"Optimised probabilistic active learning (OPAL)","Machine Learning","","100","2 - 3","10.1007/s10994-015-5504-1","Georg KremplDaniel KottkeVincent Lemaire","2015","http://link.springer.com/article/10.1007/s10994-015-5504-1","Article"
"Wall-climbing robot for non-destructive evaluation using impact-echo and metric learning SVM","International Journal of Intelligent Robotics and Applications","","1","3","10.1007/s41315-017-0028-4","Bing LiKenshin UshirodaLiang YangQiang SongJizhong Xiao","2017","http://link.springer.com/article/10.1007/s41315-017-0028-4","Article"
"Adversarial classification using signaling games with an application to phishing detection","Data Mining and Knowledge Discovery","","31","1","10.1007/s10618-016-0459-9","Nicolas FigueroaGastón L’HuillierRichard Weber","2017","http://link.springer.com/article/10.1007/s10618-016-0459-9","Article"
"Rough set-based approaches for discretization: a compact review","Artificial Intelligence Review","","44","2","10.1007/s10462-014-9426-2","Rahman AliMuhammad Hameed SiddiqiSungyoung Lee","2015","http://link.springer.com/article/10.1007/s10462-014-9426-2","Article"
"Forming Ensembles of Soft One-Class Classifiers with Weighted Bagging","New Generation Computing","","33","4","10.1007/s00354-015-0406-0","Bartosz Krawczyk","2015","http://link.springer.com/article/10.1007/s00354-015-0406-0","Article"
"Online Feature Selection of Class Imbalance via PA Algorithm","Journal of Computer Science and Technology","","31","4","10.1007/s11390-016-1656-0","Chao HanYun-Kun TanJin-Hui ZhuYong GuoJian ChenQing-Yao Wu","2016","http://link.springer.com/article/10.1007/s11390-016-1656-0","Article"
"Efficient Set-Correlation Operator Inside Databases","Journal of Computer Science and Technology","","31","4","10.1007/s11390-016-1657-z","Fei GaoShao-Xu SongLei ChenJian-Min Wang","2016","http://link.springer.com/article/10.1007/s11390-016-1657-z","Article"
"Fighting against phishing attacks: state of the art and future challenges","Neural Computing and Applications","","28","12","10.1007/s00521-016-2275-y","B. B. GuptaAakanksha TewariAnkit Kumar JainDharma P. Agrawal","2017","http://link.springer.com/article/10.1007/s00521-016-2275-y","Article"
"A systemic analysis of link prediction in social network","Artificial Intelligence Review","","","","10.1007/s10462-017-9590-2","Sogol HaghaniMohammad Reza Keyvanpour","2017","http://link.springer.com/article/10.1007/s10462-017-9590-2","Article"
"Exact and efficient top-K inference for multi-target prediction by querying separable linear relational models","Data Mining and Knowledge Discovery","","30","5","10.1007/s10618-016-0456-z","Michiel StockKrzysztof DembczyńskiBernard De BaetsWillem Waegeman","2016","http://link.springer.com/article/10.1007/s10618-016-0456-z","Article"
"Integrating Concepts and Knowledge in Large Content Networks","New Generation Computing","","32","3 - 4","10.1007/s00354-014-0407-4","Marco RossettiRemo PareschiFabio StellaFrancesca Arcelli fontana","2014","http://link.springer.com/article/10.1007/s00354-014-0407-4","Article"
"Short text clustering based on Pitman-Yor process mixture model","Applied Intelligence","","","","10.1007/s10489-017-1055-4","Jipeng QiangYun LiYunhao YuanXindong Wu","2017","http://link.springer.com/article/10.1007/s10489-017-1055-4","Article"
"Unsupervised feature construction for improving data representation and semantics","Journal of Intelligent Information Systems","","40","3","10.1007/s10844-013-0235-x","Marian-Andrei RizoiuJulien VelcinStéphane Lallich","2013","http://link.springer.com/article/10.1007/s10844-013-0235-x","Article"
"Semi-supervised classification trees","Journal of Intelligent Information Systems","","49","3","10.1007/s10844-017-0457-4","Jurica LevatićMichelangelo CeciDragi KocevSašo Džeroski","2017","http://link.springer.com/article/10.1007/s10844-017-0457-4","Article"
"Review of liver segmentation and computer assisted detection/diagnosis methods in computed tomography","Artificial Intelligence Review","","","","10.1007/s10462-017-9550-x","Mehrdad MoghbelSyamsiah MashohorRozi MahmudM. Iqbal Bin Saripan","2017","http://link.springer.com/article/10.1007/s10462-017-9550-x","Article"
"Anomaly detection and classification using a metric for determining the significance of failures","Neural Computing and Applications","","28","6","10.1007/s00521-016-2570-7","Robin Babujee JeromeKimmo Hätönen","2017","http://link.springer.com/article/10.1007/s00521-016-2570-7","Article"
"HAFNI-enabled largescale platform for neuroimaging informatics (HELPNI)","Brain Informatics","","2","4","10.1007/s40708-015-0024-0","Milad MakkieShijie ZhaoXi JiangJinglei LvYu ZhaoBao GeXiang LiJunwei HanTianming Liu","2015","http://link.springer.com/article/10.1007/s40708-015-0024-0","Article"
"Suspicious human activity recognition: a review","Artificial Intelligence Review","","","","10.1007/s10462-017-9545-7","Rajesh Kumar TripathiAnand Singh JalalSubhash Chand Agrawal","2017","http://link.springer.com/article/10.1007/s10462-017-9545-7","Article"
"Tuning the Learning Rate for Stochastic Variational Inference","Journal of Computer Science and Technology","","31","2","10.1007/s11390-016-1636-4","Xi-Ming LiJi-Hong Ouyang","2016","http://link.springer.com/article/10.1007/s11390-016-1636-4","Article"
"Discovering outlying aspects in large datasets","Data Mining and Knowledge Discovery","","30","6","10.1007/s10618-016-0453-2","Nguyen Xuan VinhJeffrey ChanSimone RomanoJames BaileyChristopher LeckieKotagiri RamamohanaraoJian Pei","2016","http://link.springer.com/article/10.1007/s10618-016-0453-2","Article"
"Score-based methods for learning Markov boundaries by searching in constrained spaces","Data Mining and Knowledge Discovery","","26","1","10.1007/s10618-011-0247-5","Silvia AcidLuis M. de CamposMoisés Fernández","2013","http://link.springer.com/article/10.1007/s10618-011-0247-5","Article"
"Detecting inappropriate access to electronic health records using collaborative filtering","Machine Learning","","95","1","10.1007/s10994-013-5376-1","Aditya Krishna MenonXiaoqian JiangJihoon KimJaideep VaidyaLucila Ohno-Machado","2014","http://link.springer.com/article/10.1007/s10994-013-5376-1","Article"
"Half-space mass: a maximally robust and efficient data depth method","Machine Learning","","100","2 - 3","10.1007/s10994-015-5524-x","Bo ChenKai Ming TingTakashi WashioGholamreza Haffari","2015","http://link.springer.com/article/10.1007/s10994-015-5524-x","Article"
"Mass estimation","Machine Learning","","90","1","10.1007/s10994-012-5303-x","Kai Ming TingGuang-Tong ZhouFei Tony LiuSwee Chuan Tan","2013","http://link.springer.com/article/10.1007/s10994-012-5303-x","Article"
"Learning from evolving video streams in a multi-camera scenario","Machine Learning","","100","2 - 3","10.1007/s10994-015-5515-y","Samaneh KhoshrouJaime S. CardosoLuís F. Teixeira","2015","http://link.springer.com/article/10.1007/s10994-015-5515-y","Article"
"On measuring similarity for sequences of itemsets","Data Mining and Knowledge Discovery","","29","3","10.1007/s10618-014-0362-1","Elias EghoChedy RaïssiToon CaldersNicolas JayAmedeo Napoli","2015","http://link.springer.com/article/10.1007/s10618-014-0362-1","Article"
"A tamper-proof audit and control system for the doctor in the loop","Brain Informatics","","3","4","10.1007/s40708-016-0046-2","Peter KiesebergBernd MallePeter FrühwirtEdgar WeipplAndreas Holzinger","2016","http://link.springer.com/article/10.1007/s40708-016-0046-2","Article"
"Triadic Formal Concept Analysis and triclustering: searching for optimal patterns","Machine Learning","","101","1 - 3","10.1007/s10994-015-5487-y","Dmitry I. IgnatovDmitry V. GnatyshakSergei O. KuznetsovBoris G. Mirkin","2015","http://link.springer.com/article/10.1007/s10994-015-5487-y","Article"
"A review on the application of structured sparse representation at image annotation","Artificial Intelligence Review","","48","3","10.1007/s10462-016-9502-x","Vafa MaihamiFarzin Yaghmaee","2017","http://link.springer.com/article/10.1007/s10462-016-9502-x","Article"
"Sparse learning of maximum likelihood model for optimization of complex loss function","Neural Computing and Applications","","28","5","10.1007/s00521-015-2118-2","Ning ZhangPrathamesh Chandrasekar","2017","http://link.springer.com/article/10.1007/s00521-015-2118-2","Article"
"Rule-based back propagation neural networks for various precision rough set presented KANSEI knowledge prediction: a case study on shoe product form features extraction","Neural Computing and Applications","","28","3","10.1007/s00521-016-2707-8","Zairan LiKai ShiNilanjan DeyAmira S. AshourDan WangValentina E. BalasPamela McCauleyFuqian Shi","2017","http://link.springer.com/article/10.1007/s00521-016-2707-8","Article"
"Learning from syntax generalizations for automatic semantic annotation","Journal of Intelligent Information Systems","","43","2","10.1007/s10844-014-0320-9","Guido BoellaLuigi Di CaroAlice RuggeriLivio Robaldo","2014","http://link.springer.com/article/10.1007/s10844-014-0320-9","Article"
"The matrix ridge approximation: algorithms and applications","Machine Learning","","97","3","10.1007/s10994-013-5431-y","Zhihua Zhang","2014","http://link.springer.com/article/10.1007/s10994-013-5431-y","Article"
"Generalization bounds for learning with linear, polygonal, quadratic and conic side knowledge","Machine Learning","","100","2 - 3","10.1007/s10994-014-5478-4","Theja TulabandhulaCynthia Rudin","2015","http://link.springer.com/article/10.1007/s10994-014-5478-4","Article"
"CenKNN: a scalable and effective text classifier","Data Mining and Knowledge Discovery","","29","3","10.1007/s10618-014-0358-x","Guansong PangHuidong JinShengyi Jiang","2015","http://link.springer.com/article/10.1007/s10618-014-0358-x","Article"
"Reverse Furthest Neighbors Query in Road Networks","Journal of Computer Science and Technology","","32","1","10.1007/s11390-017-1711-5","Xiao-Jun XuJin-Song BaoBin YaoJing-Yu ZhouFei-Long TangMin-Yi GuoJian-Qiu Xu","2017","http://link.springer.com/article/10.1007/s11390-017-1711-5","Article"
"Learning Kernels for Unsupervised Domain Adaptation with Applications to Visual Object Recognition","International Journal of Computer Vision","","109","1 - 2","10.1007/s11263-014-0718-4","Boqing GongKristen GraumanFei Sha","2014","http://link.springer.com/article/10.1007/s11263-014-0718-4","Article"
"Learning-Assisted Automated Reasoning with Flyspeck","Journal of Automated Reasoning","","53","2","10.1007/s10817-014-9303-3","Cezary KaliszykJosef Urban","2014","http://link.springer.com/article/10.1007/s10817-014-9303-3","Article"
"SMOTE-GPU: Big Data preprocessing on commodity hardware for imbalanced classification","Progress in Artificial Intelligence","","6","4","10.1007/s13748-017-0128-2","Pablo D. GutiérrezMiguel LastraJosé M. BenítezFrancisco Herrera","2017","http://link.springer.com/article/10.1007/s13748-017-0128-2","Article"
"Research on the hybrid models of granular computing and support vector machine","Artificial Intelligence Review","","43","4","10.1007/s10462-013-9393-z","Shifei DingHuajuan HuangJunzhao YuHan Zhao","2015","http://link.springer.com/article/10.1007/s10462-013-9393-z","Article"
"Unsupervised Feature Learning for Dense Correspondences Across Scenes","International Journal of Computer Vision","","116","1","10.1007/s11263-015-0829-6","Chao ZhangChunhua ShenTingzhi Shen","2016","http://link.springer.com/article/10.1007/s11263-015-0829-6","Article"
"Adaptive random forests for evolving data stream classification","Machine Learning","","106","9 - 10","10.1007/s10994-017-5642-8","Heitor M. GomesAlbert BifetJesse ReadJean Paul BarddalFabrício EnembreckBernhard PfharingerGeoff HolmesTalel Abdessalem","2017","http://link.springer.com/article/10.1007/s10994-017-5642-8","Article"
"Lightly supervised word-sense translation-error detection and resolution in an interactive conversational spoken language translation system","Machine Translation","","29","1","10.1007/s10590-015-9168-1","Sankaranarayanan AnanthakrishnanDennis N. MehaySanjika HewavitharanaRohit KumarMatt RoyEnoch Kan","2015","http://link.springer.com/article/10.1007/s10590-015-9168-1","Article"
"Evidence-based uncertainty sampling for active learning","Data Mining and Knowledge Discovery","","31","1","10.1007/s10618-016-0460-3","Manali SharmaMustafa Bilgic","2017","http://link.springer.com/article/10.1007/s10618-016-0460-3","Article"
"Grey wolf optimizer: a review of recent variants and applications","Neural Computing and Applications","","","","10.1007/s00521-017-3272-5","Hossam FarisIbrahim AljarahMohammed Azmi Al-BetarSeyedali Mirjalili","2017","http://link.springer.com/article/10.1007/s00521-017-3272-5","Article"
"A topological insight into restricted Boltzmann machines","Machine Learning","","104","2 - 3","10.1007/s10994-016-5570-z","Decebal Constantin MocanuElena MocanuPhuong H. NguyenMadeleine GibescuAntonio Liotta","2016","http://link.springer.com/article/10.1007/s10994-016-5570-z","Article"
"Sparse Output Coding for Scalable Visual Recognition","International Journal of Computer Vision","","119","1","10.1007/s11263-015-0839-4","Bin ZhaoEric P. Xing","2016","http://link.springer.com/article/10.1007/s11263-015-0839-4","Article"
"Supersparse linear integer models for optimized medical scoring systems","Machine Learning","","102","3","10.1007/s10994-015-5528-6","Berk UstunCynthia Rudin","2016","http://link.springer.com/article/10.1007/s10994-015-5528-6","Article"
"Decomposition-by-normalization (DBN): leveraging approximate functional dependencies for efficient CP and tucker decompositions","Data Mining and Knowledge Discovery","","30","1","10.1007/s10618-015-0401-6","Mijung KimK. Selçuk Candan","2016","http://link.springer.com/article/10.1007/s10618-015-0401-6","Article"
"Stream-based semi-supervised learning for recommender systems","Machine Learning","","106","6","10.1007/s10994-016-5614-4","Pawel MatuszykMyra Spiliopoulou","2017","http://link.springer.com/article/10.1007/s10994-016-5614-4","Article"
"Preface: pattern recognition and mining","Natural Computing","","15","3","10.1007/s11047-015-9487-4","Pradipta MajiSankar K. PalAndrzej Skowron","2016","http://link.springer.com/article/10.1007/s11047-015-9487-4","Article"
"A Joint Gaussian Process Model for Active Visual Recognition with Expertise Estimation in Crowdsourcing","International Journal of Computer Vision","","116","2","10.1007/s11263-015-0834-9","Chengjiang LongGang HuaAshish Kapoor","2016","http://link.springer.com/article/10.1007/s11263-015-0834-9","Article"
"Unsupervised feature selection based on decision graph","Neural Computing and Applications","","28","10","10.1007/s00521-016-2737-2","Jinrong HeYingzhou BiLixin DingZhaokui LiShenwen Wang","2017","http://link.springer.com/article/10.1007/s00521-016-2737-2","Article"
"Robust and smart spectral clustering from normalized cut","Neural Computing and Applications","","23","5","10.1007/s00521-012-1101-4","Wanzeng KongSanqing HuJianhai ZhangGuojun Dai","2013","http://link.springer.com/article/10.1007/s00521-012-1101-4","Article"
"Tune and mix: learning to rank using ensembles of calibrated multi-class classifiers","Machine Learning","","93","2 - 3","10.1007/s10994-013-5360-9","Róbert Busa-FeketeBalázs KéglTamás ÉltetőGyörgy Szarvas","2013","http://link.springer.com/article/10.1007/s10994-013-5360-9","Article"
"Measuring discrimination in algorithmic decision making","Data Mining and Knowledge Discovery","","31","4","10.1007/s10618-017-0506-1","Indrė Žliobaitė","2017","http://link.springer.com/article/10.1007/s10618-017-0506-1","Article"
"Multi-Cue Illumination Estimation via a Tree-Structured Group Joint Sparse Representation","International Journal of Computer Vision","","117","1","10.1007/s11263-015-0844-7","Bing LiWeihua XiongWeiming HuBrian FuntJunliang Xing","2016","http://link.springer.com/article/10.1007/s11263-015-0844-7","Article"
"A new classification approach for neural networks hardware: from standards chips to embedded systems on chip","Artificial Intelligence Review","","41","4","10.1007/s10462-012-9321-7","N. IzeboudjenC. LarbesA. Farah","2014","http://link.springer.com/article/10.1007/s10462-012-9321-7","Article"
"An improved Android malware detection scheme based on an evolving hybrid neuro-fuzzy classifier (EHNFC) and permission-based features","Neural Computing and Applications","","28","12","10.1007/s00521-016-2708-7","Altyeb Altaher","2017","http://link.springer.com/article/10.1007/s00521-016-2708-7","Article"
"Slavic languages in phrase-based statistical machine translation: a survey","Artificial Intelligence Review","","","","10.1007/s10462-017-9558-2","Mirjam Sepesy MaučecJanez Brest","2017","http://link.springer.com/article/10.1007/s10462-017-9558-2","Article"
"An efficient query processing optimization based on ELM in the cloud","Neural Computing and Applications","","27","1","10.1007/s00521-013-1543-3","Linlin DingJunchang XinGuoren Wang","2016","http://link.springer.com/article/10.1007/s00521-013-1543-3","Article"
"RADDACL2: a recursive approach to discovering density clusters","Progress in Artificial Intelligence","","4","1 - 2","10.1007/s13748-015-0066-9","Daniel AvilaIren Valova","2015","http://link.springer.com/article/10.1007/s13748-015-0066-9","Article"
"Efficiently learning the preferences of people","Machine Learning","","90","1","10.1007/s10994-012-5297-4","Adriana BirlutiuPerry GrootTom Heskes","2013","http://link.springer.com/article/10.1007/s10994-012-5297-4","Article"
